DateD_PO|ManufacturerID|Note|ProductType|Commessa|DateD|ID|Tag|SerialN
13-Feb-2020|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'BC19070', 'ID': '3343883000000226565'}||3343883000000410112||BC19070-01
13-Feb-2020|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'BC19060', 'ID': '3343883000000226560'}||3343883000000410112||BC19060-01
05-May-2020|||{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'DG20010', 'ID': '3343883000000404007'}||3343883000000403968||DG20010-PB07
05-May-2020|||{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'DG20010', 'ID': '3343883000000404007'}||3343883000000403968||DG20010-PB06
05-May-2020|||{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'DG20010', 'ID': '3343883000000404007'}||3343883000000403968||DG20010-PB05
05-May-2020|||{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'DG20010', 'ID': '3343883000000404007'}||3343883000000403968||DG20010-PB04
05-May-2020|||{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'DG20010', 'ID': '3343883000000404007'}||3343883000000403968||DG20010-PB03
05-May-2020|||{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'DG20010', 'ID': '3343883000000404007'}||3343883000000403968||DG20010-PB02
05-May-2020|||{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'DG20010', 'ID': '3343883000000404007'}||3343883000000403968||DG20010-PB01
05-May-2020|||{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'DG20010', 'ID': '3343883000000404007'}||3343883000000403968||DG20010-JB14
05-May-2020|||{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'DG20010', 'ID': '3343883000000404007'}||3343883000000403968||DG20010-JB13
05-May-2020|||{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'DG20010', 'ID': '3343883000000404007'}||3343883000000403968||DG20010-JB12
05-May-2020|||{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'DG20010', 'ID': '3343883000000404007'}||3343883000000403968||DG20010-JB11
