Mon Oct 11 14:58:26 2021 | marcom: M:/Com-2021/NEA-IT/NE21080 - IRAN/Doc SEID/IO - PLC Hardware IO List/NE21080IO02 - Rev.0.xlsx
Mon Oct 11 14:58:47 2021 | marcom: Errore: (IOLIST) nessun file o sheet excel selezionati.
Wed Oct 13 15:31:43 2021 | barzasi: M:/Com-2021/REMAZEL/RZ21010 (MISC)/Doc SEID/IO - PLC Hardware IO List/RZ21010IO01HPU - Rev.0.xlsx
Thu Oct 14 16:40:43 2021 | barzasi: M:/Com-2021/ENERPROJECT/EN21040 (USA)/Doc SEID/IO - PLC Hardware IO List/EN21040IO01 - Rev.1 - APERTA.xlsx
Thu Oct 14 16:41:01 2021 | barzasi: ERROR AFTER SIGNAL:
XS 034 - DO4 - MOTOR FAN OIL SYSTEM STOP COMMAND - 
Thu Oct 14 16:56:43 2021 | barzasi: M:/Com-2021/ENERPROJECT/EN21040 (USA)/Doc SEID/IO - PLC Hardware IO List/EN21040IO01 - Rev.1 - APERTA.xlsx
Fri Oct 15 09:42:21 2021 | barzasi: M:/Com-2021/ENERPROJECT/EN21040 (USA)/Doc SEID/IO - PLC Hardware IO List/EN21040IO01 - Rev.1 - APERTA.xlsx
Fri Oct 15 09:42:35 2021 | barzasi: Errore: (IOLIST) nessun file o sheet excel selezionati.
Fri Oct 15 14:10:22 2021 | barzasi: M:/Com-2021/ENERPROJECT/EN21040 (USA)/Doc SEID/IO - PLC Hardware IO List/EN21040IO01 - Rev.1 - APERTA.xlsx
Wed Oct 20 15:23:00 2021 | barzasi: M:/Com-2021/REMAZEL/RZ21010 (MISC)/Doc SEID/IO - PLC Hardware IO List/RZ21010IO01HPU - Rev.0.xlsx
Wed Oct 20 15:23:11 2021 | barzasi: Errore: (IOLIST) nessun file o sheet excel selezionati.
Wed Oct 20 15:23:16 2021 | barzasi: ERROR AFTER SIGNAL:
%% - AI1 - SPARE %% %% - EW262
Wed Oct 20 15:24:53 2021 | barzasi: ERROR AFTER SIGNAL:
%% - AI1 - SPARE %% %% - EW262
Wed Oct 20 15:29:46 2021 | barzasi: ERROR AFTER SIGNAL:
%% - AI1 - SPARE %% %% - EW262
Thu Oct 21 09:22:15 2021 | marcom: M:/Com-2021/ENERPROJECT/EN21030 (GSI)/Doc SEID/IO - PLC Hardware IO List/EN21030IO03 (467) - Rev.1 - OPEN.xlsx
Thu Oct 21 09:34:35 2021 | marcom: M:/Com-2021/ENERPROJECT/EN21030 (GSI)/Doc SEID/IO - PLC Hardware IO List/EN21030IO01 (465) - Rev.1 - OPEN.xlsx
Thu Oct 21 09:35:33 2021 | marcom: M:/Com-2021/ENERPROJECT/EN21030 (GSI)/Doc SEID/IO - PLC Hardware IO List/EN21030IO02 (466) - Rev.1 - OPEN.xlsx
Fri Oct 22 15:30:15 2021 | ferrari: M:/Com-2021/NEA-IT/NE21020 (APC Egitto)/Doc SEID/IO - PLC Hardware IO List/NE21020IO01 Rev.2 - Aperta.xlsx
Fri Oct 22 18:17:29 2021 | barzasi: M:/Com-2021/FLENCO/FL21010 - Three Rivers GE USA/Doc SEID/IO - PLC Hardware IO List/FL21010IO01 - Rev.1.xlsx
Fri Oct 22 18:18:38 2021 | barzasi: M:/Com-2021/FLENCO/FL21010 - Three Rivers GE USA/Doc SEID/IO - PLC Hardware IO List/FL21010IO01 - Rev.1.xlsx
Mon Oct 25 09:47:30 2021 | ferrari: M:/Com-2021/NEA-IT/NE21020 (APC Egitto)/Doc SEID/IO - PLC Hardware IO List/NE21020IO01 Rev.2 - Aperta.xlsx
Mon Oct 25 09:49:34 2021 | ferrari: M:/Com-2021/NEA-IT/NE21020 (APC Egitto)/Doc SEID/IO - PLC Hardware IO List/NE21020IO01 Rev.2 - Aperta.xlsx
Mon Oct 25 09:50:48 2021 | ferrari: M:/Com-2021/NEA-IT/NE21020 (APC Egitto)/Doc SEID/IO - PLC Hardware IO List/NE21020IO01 Rev.2 - Aperta.xlsx
Mon Oct 25 09:50:52 2021 | ferrari: Errore: (IOLIST) nessun file o sheet excel selezionati.
Mon Oct 25 09:52:42 2021 | ferrari: M:/Com-2021/NEA-IT/NE21020 (APC Egitto)/Doc SEID/IO - PLC Hardware IO List/NE21020IO01 Rev.2 - Aperta.xlsx
Mon Oct 25 09:57:11 2021 | ferrari: ERROR AFTER SIGNAL:
%% - SDO1 - Spare %% %% - A 47.1
Mon Oct 25 10:01:27 2021 | marcom: M:/Com-2021/NEA-IT/NE21020 (APC Egitto)/Doc SEID/IO - PLC Hardware IO List/NE21020IO01 Rev.2 - Aperta.xlsx
Mon Oct 25 10:02:55 2021 | marcom: ERROR AFTER SIGNAL:
%% - SDO1 - Spare %% %% - A 47.1
Mon Oct 25 10:21:40 2021 | ferrari: M:/Com-2021/NEA-IT/NE21020 (APC Egitto)/Doc SEID/IO - PLC Hardware IO List/NE21020IO01 Rev.2 - Aperta.xlsx
Mon Oct 25 10:23:16 2021 | marcom: M:/Com-2021/NEA-IT/NE21020 (APC Egitto)/Doc SEID/IO - PLC Hardware IO List/NE21020IO01 Rev.2 - Aperta.xlsx
Wed Oct 27 14:29:26 2021 | marcom: C:/Users/marcom/Desktop/EN21010IO01.xlsx
Wed Oct 27 14:29:58 2021 | marcom: Errore: (IOLIST) nessun file o sheet excel selezionati.
Wed Oct 27 14:30:06 2021 | marcom: C:/Users/marcom/Desktop/EN21010IO01.xlsx
Wed Oct 27 14:30:34 2021 | marcom: C:/Users/marcom/Desktop/NE20040IO01 tot.xlsx
Wed Oct 27 14:31:49 2021 | marcom: M:/Com-2021/ENERPROJECT/EN21030 (GSI)/Doc SEID/IO - PLC Hardware IO List/EN21030IO01 (465) - Rev.1 - OPEN.xlsx
Wed Oct 27 14:44:48 2021 | barzasi: M:/Com-2021/REMAZEL/RZ21010 (MISC)/Doc SEID/IO - PLC Hardware IO List/RZ21010IO01HPU - Rev.0 - LORO COMMENTI.xlsx
Thu Oct 28 16:59:20 2021 | barzasi: M:/Com-2021/REMAZEL/RZ21010 (MISC)/Doc SEID/IO - PLC Hardware IO List/RZ21010IO01HPU - Rev.0 - LORO COMMENTI.xlsx
Fri Oct 29 08:34:04 2021 | barzasi: M:/Com-2021/REMAZEL/RZ21010 (MISC)/Doc SEID/IO - PLC Hardware IO List/RZ21010IO01HPU - Rev.0 - LORO COMMENTI.xlsx
Fri Oct 29 11:04:00 2021 | ferrari: M:/Com-2021/CARSON/CT21010 (Assiut)/Doc SEID/IO - PLC Hardware IO List/CT21010IO01 - Rev.0.xlsx
Fri Oct 29 13:28:05 2021 | gonella: M:/Com-2021/FLENCO/FL21010 - Three Rivers GE USA/Doc SEID/IO - PLC Hardware IO List/FL21010IO01 - Rev.1.xlsx
Fri Oct 29 14:03:03 2021 | gonella: Errore: (IOLIST) nessun file o sheet excel selezionati.
Fri Oct 29 14:03:28 2021 | gonella: Errore: (IOLIST) nessun file o sheet excel selezionati.
Fri Oct 29 14:04:13 2021 | gonella: M:/Com-2021/FLENCO/FL21010 - Three Rivers GE USA/Doc SEID/IO - PLC Hardware IO List/FL21010IO01 - Rev.1.xlsx
Fri Oct 29 14:07:57 2021 | gonella: M:/Com-2021/FLENCO/FL21010 - Three Rivers GE USA/Doc SEID/IO - PLC Hardware IO List/FL21010IO01 - Rev.1.xlsx
Fri Oct 29 14:08:19 2021 | gonella: Errore: (IOLIST) nessun file o sheet excel selezionati.
Fri Oct 29 14:08:50 2021 | gonella: M:/Com-2021/FLENCO/FL21010 - Three Rivers GE USA/Doc SEID/IO - PLC Hardware IO List/FL21010IO01 - Rev.1.xlsx
Fri Oct 29 14:08:53 2021 | gonella: Errore: (IOLIST) nessun file o sheet excel selezionati.
Fri Oct 29 14:12:38 2021 | gonella: M:/Com-2021/FLENCO/FL21010 - Three Rivers GE USA/Doc SEID/IO - PLC Hardware IO List/FL21010IO01 - Rev.1.xlsx
Fri Oct 29 14:22:50 2021 | gonella: M:/Com-2021/FLENCO/FL21010 - Three Rivers GE USA/Doc SEID/IO - PLC Hardware IO List/FL21010IO01 - Rev.1.xlsx
Tue Nov  2 15:14:21 2021 | ferrari: M:/Com-2021/CARSON/CT21010 (Assiut)/Doc SEID/IO - PLC Hardware IO List/CT21010IO01 - Rev.0.xlsx
Wed Nov  3 07:51:56 2021 | barzasi: M:/Com-2021/ENERPROJECT/EN21040 (USA)/Doc SEID/IO - PLC Hardware IO List/EN21040IO01 - Rev.1 - APERTA.xlsx
Wed Nov  3 07:52:07 2021 | barzasi: Errore: (IOLIST) nessun file o sheet excel selezionati.
Wed Nov  3 09:43:00 2021 | ferrari: M:/Com-2021/CARSON/CT21010 (Assiut)/Doc SEID/IO - PLC Hardware IO List/CT21010IO01 - Rev.0.xlsx
Wed Nov  3 09:47:09 2021 | ferrari: M:/Com-2021/CARSON/CT21010 (Assiut)/Doc SEID/IO - PLC Hardware IO List/CT21010IO01 - Rev.0.xlsx
Wed Nov  3 09:48:22 2021 | ferrari: M:/Com-2021/CARSON/CT21010 (Assiut)/Doc SEID/IO - PLC Hardware IO List/CT21010IO01 - Rev.0.xlsx
Wed Nov  3 09:50:03 2021 | ferrari: M:/Com-2021/CARSON/CT21010 (Assiut)/Doc SEID/IO - PLC Hardware IO List/CT21010IO01 - Rev.0.xlsx
